ID length robot_feedback previous_score current_result diff
user_41/session_1 9 0 -3 -1 1 0.005171474394
user_41/session_1 5 0 -4 1 4 0.004653923345
user_41/session_1 5 1 2 -1 1 -0.009913070958
user_41/session_1 5 0 -2 1 0 0.003049558853
user_41/session_1 3 0 2 -1 5 0.007339936848
user_41/session_1 3 2 -1 1 3 -0.010044452714
user_41/session_1 9 0 1 -1 4 0.000936430052
user_41/session_1 9 1 -4 -1 2 -0.000112961565
user_41/session_1 7 0 -4 1 1 0.006179852056
user_41/session_1 5 0 3 1 0 0.004212099709
user_41/session_1 3 0 2 1 4 0.000256783442
user_41/session_1 3 1 1 1 1 -0.002262487825
user_41/session_1 5 0 1 1 1 -0.002155499016
user_41/session_1 5 0 2 1 3 0.004346367247
user_41/session_1 9 0 2 1 5 -0.001533177801
user_41/session_1 9 2 4 -1 3 -0.004340729493
user_41/session_1 9 0 -4 -1 1 -0.004060928569
user_41/session_1 5 0 -4 1 0 0.003822153703
user_41/session_1 3 0 2 1 2 0.002128066356
user_41/session_1 7 0 1 1 2 -0.004312239534
user_41/session_1 7 0 3 1 4 -0.001927673956
user_41/session_1 7 1 3 -1 -1 -0.002333027658
user_38/session_1 7 0 3 -1 5 -0.015489779346
user_38/session_1 7 2 -3 -1 3 0.011386142283
user_38/session_1 9 0 -3 -1 1 -0.007268828006
user_38/session_1 5 0 -4 1 4 -1.66149749999e-05
user_38/session_1 5 1 2 1 1 0.010534645168
user_38/session_1 5 0 2 -1 0 -0.001899959013
user_38/session_1 3 0 -2 1 5 0.005661605136
user_38/session_1 3 2 1 1 3 -0.009279099132
user_38/session_1 9 0 1 -1 4 0.00619897783
user_38/session_1 9 1 -4 -1 2 -0.009661874662
user_38/session_1 7 0 -4 -1 1 -0.004627374936
user_38/session_1 5 0 -3 1 0 0.006823249907
user_38/session_1 3 0 2 1 4 0.004666567483
user_38/session_1 3 1 1 1 1 -0.010414913967
user_38/session_1 5 0 1 1 1 0.014601790766
user_38/session_1 5 0 2 1 3 -0.010241085406
user_38/session_1 9 0 2 -1 5 -0.00205424153
user_38/session_1 9 2 -4 -1 3 0.000688631485
user_38/session_1 9 0 -4 -1 1 -0.002876155365
user_38/session_1 5 0 -4 1 0 0.0016275875
user_38/session_1 3 0 2 1 2 -0.012862987779
user_38/session_1 7 0 1 -1 2 0.009339536181
user_38/session_1 7 0 -3 1 4 0.010173055232
user_38/session_1 7 1 3 -1 -1 -0.0069685658
user_31/session_1 5 0 1 -1 4 -0.007961254825
user_31/session_1 5 1 -2 1 2 0.000501656278
user_31/session_1 7 0 2 -1 3 -0.00017126041
user_31/session_1 9 0 -3 1 4 0.013188729157
user_31/session_1 9 1 4 -1 1 -0.011985524288
user_31/session_1 5 0 -4 1 0 -0.000144450435
user_31/session_1 3 0 2 1 4 -0.003194787763
user_31/session_1 3 1 1 1 2 0.010398063385
user_31/session_1 7 0 1 -1 0 -0.010370649742
user_31/session_1 3 0 -3 1 5 0.025942673852
user_31/session_1 3 2 1 1 1 -0.014392072383
user_31/session_1 5 0 1 1 2 -0.0011802432
user_31/session_1 7 0 2 -1 3 0.000722247044
user_31/session_1 9 0 -3 -1 4 0.013835081294
user_31/session_1 9 1 -4 -1 2 -0.007449263503
user_31/session_1 7 0 -4 -1 0 -0.008410450629
user_31/session_1 3 0 -3 1 5 0.005625053481
user_31/session_1 3 2 1 1 1 0.006520161449
user_31/session_1 5 0 1 1 0 0.005330699393
user_31/session_1 3 0 2 1 2 -0.004943762221
user_31/session_1 7 0 1 -1 5 -0.003788404729
user_31/session_1 7 2 -3 1 2 0.004422901716
user_31/session_1 7 0 3 -1 1 -0.001082247405
user_31/session_1 5 0 -3 -1 -1 -0.005079414009
user_4/session_2 3 0 -2 1 1 -0.000229682122
user_4/session_2 5 0 1 1 5 0.016238015986
user_4/session_2 5 2 2 1 2 -0.011940135041
user_4/session_2 7 0 2 1 3 0.005516940936
user_4/session_2 9 0 3 -1 2 0.009263960256
user_4/session_2 7 0 -4 -1 5 -0.007426860217
user_4/session_2 7 2 -3 -1 1 0.002177605557
user_4/session_2 5 0 -3 1 0 -0.013521048369
user_4/session_2 3 0 2 1 4 0.011149383773
user_4/session_2 3 1 1 1 1 -0.01511341223
user_4/session_2 5 0 1 1 5 0.020880558808
user_4/session_2 5 2 2 1 2 -0.009808445914
user_4/session_2 7 0 2 -1 1 -0.01017296836
user_4/session_2 5 0 -3 -1 0 0.017190147211
user_4/session_2 3 0 -2 1 5 -0.008404081843
user_4/session_2 3 2 1 1 2 -0.003847355951
user_4/session_2 7 0 1 1 3 0.003195316777
user_4/session_2 9 0 3 1 4 -0.001247121733
user_4/session_2 9 1 4 -1 2 -0.00196829168
user_4/session_2 7 0 -4 1 3 0.002560322006
user_4/session_2 9 0 3 -1 2 -0.011337047826
user_4/session_2 7 0 -4 -1 4 0.004337076915
user_4/session_2 7 1 -3 -1 1 0.009427677
user_4/session_2 5 0 -3 1 -1 0.001756329249
user_4/session_3 5 0 1 1 4 0.007113732748
user_4/session_3 5 1 2 1 2 0.01563862604
user_4/session_3 7 0 2 -1 3 -0.025484233733
user_4/session_3 9 0 -3 -1 4 0.005562800337
user_4/session_3 9 1 -4 -1 1 0.002701102805
user_4/session_3 5 0 -4 -1 0 0.005080076756
user_4/session_3 3 0 -2 1 4 -0.002639129038
user_4/session_3 3 1 1 1 2 -0.001054102216
user_4/session_3 7 0 1 -1 0 0.002361198146
user_4/session_3 3 0 -3 1 5 -0.003380363539
user_4/session_3 3 2 1 1 1 0.005006388508
user_4/session_3 5 0 1 1 2 0.001611403058
user_4/session_3 7 0 2 1 3 -0.009143250186
user_4/session_3 9 0 3 -1 4 -8.36268030001e-05
user_4/session_3 9 1 -4 -1 2 0.006712003555
user_4/session_3 7 0 -4 -1 0 -0.007742272059
user_4/session_3 3 0 -3 1 5 0.026248581996
user_4/session_3 3 2 1 1 1 -0.017229719479
user_4/session_3 5 0 1 1 0 0.001342345009
user_4/session_3 3 0 2 1 2 -0.007883138304
user_4/session_3 7 0 1 1 5 0.013917877013
user_4/session_3 7 2 3 -1 2 -0.014681274798
user_4/session_3 7 0 -3 1 1 0.008830447647
user_4/session_3 5 0 3 1 -1 -0.008984802825
user_17/session_1 5 0 1 1 2 -0.014500731175
user_17/session_1 7 0 2 -1 5 -0.026641693413
user_17/session_1 7 2 -3 -1 1 0.031733114081
user_17/session_1 5 0 -3 1 0 -0.017240099102
user_17/session_1 3 0 2 1 4 -0.008846496442
user_17/session_1 3 1 1 1 2 0.000343883338
user_17/session_1 7 0 1 -1 3 -0.0020878639
user_17/session_1 9 0 -3 -1 5 0.003394590377
user_17/session_1 9 2 -4 -1 3 0.00359443991
user_17/session_1 9 0 -4 -1 1 0.000211488221
user_17/session_1 5 0 -4 1 5 0.006507446246
user_17/session_1 5 2 2 1 0 0.004933865286
user_17/session_1 3 0 2 1 4 -0.015915570289
user_17/session_1 3 1 1 1 2 0.02095033572
user_17/session_1 7 0 1 -1 5 -0.005484956553
user_17/session_1 7 2 -3 1 2 -0.005669578948
user_17/session_1 7 0 3 -1 3 -0.004028183485
user_17/session_1 9 0 -3 -1 2 -0.010416148391
user_17/session_1 7 0 -4 1 1 0.012454612907
user_17/session_1 5 0 3 1 4 0.015211620248
user_17/session_1 5 1 2 1 3 -0.016455865898
user_17/session_1 9 0 2 -1 2 0.011241477955
user_17/session_1 7 0 -4 -1 3 -0.031337238062
user_17/session_1 9 0 -3 -1 -1 0.018193032591
user_55/session_1 5 0 1 1 4 0.013062219181
user_55/session_1 5 1 2 1 2 -0.004406143461
user_55/session_1 7 0 2 -1 3 0.006010285561
user_55/session_1 9 0 -3 -1 4 0.001610532474
user_55/session_1 9 1 -4 -1 1 0.002267994253
user_55/session_1 5 0 -4 1 0 -0.014411278434
user_55/session_1 3 0 2 1 4 0.00907191901
user_55/session_1 3 1 1 1 2 0.006606611196
user_55/session_1 7 0 1 -1 0 0.001368452174
user_55/session_1 3 0 -3 1 5 0.00391281609
user_55/session_1 3 2 1 1 1 -0.002187219601
user_55/session_1 5 0 1 1 2 -0.004685059687
user_55/session_1 7 0 2 -1 3 -0.02188678615
user_55/session_1 9 0 -3 -1 4 0.019075862682
user_55/session_1 9 1 -4 -1 2 -0.017914956954
user_55/session_1 7 0 -4 -1 0 -0.007300469019
user_55/session_1 3 0 -3 1 5 0.010030782299
user_55/session_1 3 2 1 1 1 0.01432420972
user_55/session_1 5 0 1 -1 0 -0.005597505209
user_55/session_1 3 0 -2 1 2 0.004345375962
user_55/session_1 7 0 1 1 5 0.006082163596
user_55/session_1 7 2 3 1 2 -0.005811138381
user_55/session_1 7 0 3 -1 1 -0.00570930805
user_55/session_1 5 0 -3 1 -1 0.00148264769
user_37/session_1 5 0 1 1 2 -0.027561864745
user_37/session_1 7 0 2 -1 5 0.018862309767
user_37/session_1 7 2 -3 1 1 -0.055621590956
user_37/session_1 5 0 3 1 0 -0.003074484825
user_37/session_1 3 0 2 1 4 -0.001137223306
user_37/session_1 3 1 1 1 2 -0.005365497664
user_37/session_1 7 0 1 -1 3 0.031923644442
user_37/session_1 9 0 -3 -1 5 -0.012793704486
user_37/session_1 9 2 -4 -1 3 -0.000289294368
user_37/session_1 9 0 -4 -1 1 0.035914897163
user_37/session_1 5 0 -4 1 5 -0.061816697133
user_37/session_1 5 2 2 1 0 0.016502922666
user_37/session_1 3 0 2 1 4 0.04334635634
user_37/session_1 3 1 1 1 2 -0.051531691671
user_37/session_1 7 0 1 1 5 0.003036120492
user_37/session_1 7 2 3 1 2 -0.012973478521
user_37/session_1 7 0 3 1 3 0.018384489217
user_37/session_1 9 0 3 -1 2 0.008940804716
user_37/session_1 7 0 -4 -1 1 -0.02649368215
user_37/session_1 5 0 -3 -1 4 -0.023158645393
user_37/session_1 5 1 -2 1 3 0.000247516605
user_37/session_1 9 0 2 -1 2 0.039221450363
user_37/session_1 7 0 -4 -1 3 0.027683688036
user_37/session_1 9 0 -3 -1 -1 -0.044457094019
user_9/session_1 9 0 3 -1 4 0.000181824099
user_9/session_1 9 1 -4 -1 1 -0.021540226244
user_9/session_1 5 0 -4 -1 1 0.009741854674
user_9/session_1 5 0 -2 1 0 0.007407014586
user_9/session_1 3 0 2 1 5 0.003229156364
user_9/session_1 3 2 1 1 2 -0.020701576279
user_9/session_1 7 0 1 1 1 0.015005617423
user_9/session_1 5 0 3 1 0 0.005788591061
user_9/session_1 3 0 2 1 4 -0.017712797008
user_9/session_1 3 1 1 1 1 0.001559049391
user_9/session_1 5 0 1 1 5 0.00890172208
user_9/session_1 5 2 2 1 2 -0.003293958191
user_9/session_1 7 0 2 -1 3 -0.009583710018
user_9/session_1 9 0 -3 -1 4 0.013733348028
user_9/session_1 9 1 -4 -1 3 -0.005050359816
user_9/session_1 9 0 -4 -1 2 0.002670122731
user_9/session_1 7 0 -4 -1 2 0.00198534396
user_9/session_1 7 0 -3 -1 1 0.008672252216
user_9/session_1 5 0 -3 1 5 -0.01593436907
user_9/session_1 5 2 2 1 2 0.013220708906
user_9/session_1 7 0 2 -1 0 -0.012391727619
user_9/session_1 3 0 -3 1 4 -0.001095670059
user_9/session_1 3 1 1 1 1 0.004004471756
user_9/session_1 5 0 1 1 -1 -0.001620410637
user_46/session_1 5 0 1 1 2 0.016996682829
user_46/session_1 7 0 2 -1 4 0.001213589755
user_46/session_1 7 1 -3 -1 3 -0.001077210378
user_46/session_1 9 0 -3 -1 5 -0.006696685366
user_46/session_1 9 2 -4 -1 2 -0.001631635422
user_46/session_1 7 0 -4 1 1 0.001252645984
user_46/session_1 5 0 3 1 0 0.004804910895
user_46/session_1 3 0 2 1 4 0.0025109888
user_46/session_1 3 1 1 1 1 -0.006211666669
user_46/session_1 5 0 1 1 5 0.003666201372
user_46/session_1 5 2 2 1 2 0.011591276731
user_46/session_1 7 0 2 1 3 0.004427287086
user_46/session_1 9 0 3 -1 5 -0.008455026112
user_46/session_1 9 2 -4 -1 0 -0.013972348559
user_46/session_1 3 0 -4 1 1 0.018585112135
user_46/session_1 5 0 1 1 2 0.008678294353
user_46/session_1 7 0 2 -1 4 -0.011427138205
user_46/session_1 7 1 -3 -1 2 -0.002298356362
user_46/session_1 7 0 -3 1 3 0.013677255374
user_46/session_1 9 0 3 -1 4 -0.016060677231
user_46/session_1 9 1 -4 -1 0 0.010475035976
user_46/session_1 3 0 -4 1 1 -0.018913714185
user_46/session_1 5 0 1 -1 1 0.015901621408
user_46/session_1 5 0 -2 1 -1 -0.006999065791
user_35/session_1 9 0 3 -1 5 -0.00166299055
user_35/session_1 9 2 -4 -1 3 -0.016402242064
user_35/session_1 9 0 -4 -1 1 0.009937002363
user_35/session_1 5 0 -4 -1 0 -0.010376404645
user_35/session_1 3 0 -2 1 4 0.011358240256
user_35/session_1 3 1 1 1 1 -0.000817022521
user_35/session_1 5 0 1 1 0 -0.002250487255
user_35/session_1 3 0 2 1 4 -0.00949941408
user_35/session_1 3 1 1 1 1 0.035610256228
user_35/session_1 5 0 1 1 2 0.018889801164
user_35/session_1 7 0 2 -1 2 -0.02083466075
user_35/session_1 7 0 -3 -1 5 -0.028555533832
user_35/session_1 7 2 -3 1 1 0.002511626406
user_35/session_1 5 0 3 -1 2 0.03973564613
user_35/session_1 7 0 -2 -1 4 -0.034272339502
user_35/session_1 7 1 -3 -1 3 0.009882318737
user_35/session_1 9 0 -3 -1 2 -0.009623801142
user_35/session_1 7 0 -4 -1 5 -0.017626909881
user_35/session_1 7 2 -3 -1 2 0.016479523986
user_35/session_1 7 0 -3 1 1 0.012145071266
user_35/session_1 5 0 3 1 0 -0.022007474282
user_35/session_1 3 0 2 1 4 -0.000263072673
user_35/session_1 3 1 1 -1 2 0.004580696157
user_35/session_1 7 0 -1 -1 -1 -0.006145765026
user_27/session_1 5 0 1 1 2 -0.011045350438
user_27/session_1 7 0 2 -1 5 -0.002447183305
user_27/session_1 7 2 -3 -1 1 -0.014585000908
user_27/session_1 5 0 -3 1 0 0.00888238164
user_27/session_1 3 0 2 1 4 -0.000235447487
user_27/session_1 3 1 1 1 2 0.002396730627
user_27/session_1 7 0 1 -1 3 0.007457849854
user_27/session_1 9 0 -3 -1 5 -0.013704408636
user_27/session_1 9 2 -4 -1 3 -0.003454023763
user_27/session_1 9 0 -4 -1 1 0.004415463531
user_27/session_1 5 0 -4 1 5 0.000882269526
user_27/session_1 5 2 2 1 0 -0.005317093785
user_27/session_1 3 0 2 1 4 0.030278643021
user_27/session_1 3 1 1 1 2 0.055239505936
user_27/session_1 7 0 1 -1 5 -0.079886943123
user_27/session_1 7 2 -3 -1 2 0.005722158003
user_27/session_1 7 0 -3 -1 3 0.004128871049
user_27/session_1 9 0 -3 -1 2 -0.020550911355
user_27/session_1 7 0 -4 1 1 0.011144260574
user_27/session_1 5 0 3 1 4 0.029583373638
user_27/session_1 5 1 2 1 3 -0.027445041606
user_27/session_1 9 0 2 -1 2 -0.008241760988
user_27/session_1 7 0 -4 -1 3 0.02248723907
user_27/session_1 9 0 -3 -1 -1 0.080432521619
user_64/session_1 3 0 2 1 1 -0.023528136774
user_64/session_1 5 0 1 1 5 -0.016917525951
user_64/session_1 5 2 2 1 2 0.005699657076
user_64/session_1 7 0 2 1 3 -0.009700348744
user_64/session_1 9 0 3 -1 2 -0.006539859003
user_64/session_1 7 0 -4 -1 5 0.039227497765
user_64/session_1 7 2 -3 -1 1 -0.004777022193
user_64/session_1 5 0 -3 1 0 -0.010525140729
user_64/session_1 3 0 2 1 4 0.001548439302
user_64/session_1 3 1 1 1 1 0.009788045402
user_64/session_1 5 0 1 1 5 -0.008999434633
user_64/session_1 5 2 2 1 2 0.006029364528
user_64/session_1 7 0 2 1 1 0.002865280377
user_64/session_1 5 0 3 1 0 -0.01241352286
user_64/session_1 3 0 2 1 5 -0.00324846541
user_64/session_1 3 2 1 1 2 0.004684953658
user_64/session_1 7 0 1 -1 3 -0.005069195238
user_64/session_1 9 0 -3 -1 4 0.013987360065
user_64/session_1 9 1 -4 -1 2 -0.008777608721
user_64/session_1 7 0 -4 -1 3 -0.003212192631
user_64/session_1 9 0 -3 -1 2 0.006602253334
user_64/session_1 7 0 -4 1 4 0.00226604533
user_64/session_1 7 1 3 -1 1 0.006080175824
user_64/session_1 5 0 -3 1 -1 -0.001597218814
user_39/session_1 7 0 2 1 4 0.065376874729
user_39/session_1 7 1 3 1 3 -0.112082966613
user_39/session_1 9 0 3 -1 2 -0.048026094908
user_39/session_1 7 0 -4 -1 1 0.057747738059
user_39/session_1 5 0 -3 1 0 -0.011110993525
user_39/session_1 3 0 2 1 2 -0.029504673681
user_39/session_1 7 0 1 1 3 0.043858834123
user_39/session_1 9 0 3 -1 5 0.066888887952
user_39/session_1 9 2 -4 -1 3 -0.019861822198
user_39/session_1 9 0 -4 -1 4 -0.039470819267
user_39/session_1 9 1 -4 1 1 0.045301883637
user_39/session_1 5 0 4 1 1 -0.044989889346
user_39/session_1 5 0 2 1 0 -0.049002127686
user_39/session_1 3 0 2 1 5 0.035750759374
user_39/session_1 3 2 1 1 2 -0.057129238485
user_39/session_1 7 0 1 -1 3 0.089518027569
user_39/session_1 9 0 -3 -1 2 -0.006170280389
user_39/session_1 7 0 -4 -1 1 0.027013255123
user_39/session_1 5 0 -3 1 4 -0.116613187235
user_39/session_1 5 1 2 -1 0 0.062924121355
user_39/session_1 3 0 -2 1 4 -0.035633919144
user_39/session_1 3 1 1 1 3 0.054376545044
user_39/session_1 9 0 1 -1 2 -0.061871710326
user_39/session_1 7 0 -4 -1 -1 0.104988977199
user_28/session_1 7 0 2 -1 4 -0.05987727215
user_28/session_1 7 1 -3 -1 3 -0.104097076631
user_28/session_1 9 0 -3 -1 2 0.007624128706
user_28/session_1 7 0 -4 -1 1 -0.011956646911
user_28/session_1 5 0 -3 1 0 0.003237208917
user_28/session_1 3 0 2 1 2 0.004552151605
user_28/session_1 7 0 1 -1 3 0.02051422085
user_28/session_1 9 0 -3 -1 5 -0.01877748674
user_28/session_1 9 2 -4 -1 3 -0.011763269767
user_28/session_1 9 0 -4 -1 4 0.004170083139
user_28/session_1 9 1 -4 -1 1 0.005840750813
user_28/session_1 5 0 -4 1 1 0.010950925358
user_28/session_1 5 0 2 1 0 -0.010307096425
user_28/session_1 3 0 2 1 5 -0.00100448996
user_28/session_1 3 2 1 1 2 -0.010369690809
user_28/session_1 7 0 1 1 3 0.013663061479
user_28/session_1 9 0 3 -1 2 -0.021020007082
user_28/session_1 7 0 -4 -1 1 0.006725211309
user_28/session_1 5 0 -3 1 4 0.045225286576
user_28/session_1 5 1 2 1 0 -0.038145597077
user_28/session_1 3 0 2 1 4 -0.000814975621
user_28/session_1 3 1 1 1 3 -0.012826944507
user_28/session_1 9 0 1 -1 2 -0.021991852563
user_28/session_1 7 0 -4 -1 -1 0.010573745247
user_68/session_1 7 0 3 -1 5 -0.017826824544
user_68/session_1 7 2 -3 1 3 -0.002111883661
user_68/session_1 9 0 3 -1 1 0.040859646026
user_68/session_1 5 0 -4 1 4 -0.02934377542
user_68/session_1 5 1 2 -1 1 -0.011925784349
user_68/session_1 5 0 -2 1 0 -0.001065362798
user_68/session_1 3 0 2 1 5 0.021845015583
user_68/session_1 3 2 1 1 3 -0.012990942262
user_68/session_1 9 0 1 -1 4 -0.003045610612
user_68/session_1 9 1 -4 -1 2 0.019806301897
user_68/session_1 7 0 -4 -1 1 -0.012761701751
user_68/session_1 5 0 -3 -1 0 -0.019389148645
user_68/session_1 3 0 -2 1 4 0.009441762582
user_68/session_1 3 1 1 1 1 -0.003615945332
user_68/session_1 5 0 1 1 1 0.016002544691
user_68/session_1 5 0 2 1 3 0.000455137262
user_68/session_1 9 0 2 -1 5 -0.005927646073
user_68/session_1 9 2 -4 -1 3 -0.003157102388
user_68/session_1 9 0 -4 -1 1 -0.000478842183
user_68/session_1 5 0 -4 1 0 0.000352432594
user_68/session_1 3 0 2 1 2 -0.006270813609
user_68/session_1 7 0 1 1 2 0.011117914336
user_68/session_1 7 0 3 -1 4 -0.003685369577
user_68/session_1 7 1 -3 -1 -1 -0.004888779168
user_33/session_1 3 0 2 1 1 -0.038809606828
user_33/session_1 5 0 1 -1 5 -0.009599707805
user_33/session_1 5 2 -2 -1 2 -0.001175762903
user_33/session_1 7 0 -2 -1 3 0.020438456759
user_33/session_1 9 0 -3 -1 2 -0.012890137904
user_33/session_1 7 0 -4 1 5 0.006967004058
user_33/session_1 7 2 3 -1 1 -0.009970156408
user_33/session_1 5 0 -3 -1 0 0.00426458563
user_33/session_1 3 0 -2 1 4 0.00288517821
user_33/session_1 3 1 1 1 1 0.000241579666
user_33/session_1 5 0 1 1 5 -0.006465867916
user_33/session_1 5 2 2 -1 2 0.003573150822
user_33/session_1 7 0 -2 -1 1 -0.004667282754
user_33/session_1 5 0 -3 -1 0 0.003725346806
user_33/session_1 3 0 -2 1 5 -0.001329561989
user_33/session_1 3 2 1 1 2 0.005550770418
user_33/session_1 7 0 1 -1 3 -0.010060540974
user_33/session_1 9 0 -3 -1 4 0.016230992102
user_33/session_1 9 1 -4 -1 2 -0.012049508872
user_33/session_1 7 0 -4 1 3 -0.002394170569
user_33/session_1 9 0 3 -1 2 0.004387850709
user_33/session_1 7 0 -4 -1 4 -0.002130662099
user_33/session_1 7 1 -3 -1 1 0.012978249279
user_33/session_1 5 0 -3 -1 -1 -0.01152318704
user_12/session_1 7 0 -3 -1 5 0.001316405876
user_12/session_1 7 2 -3 -1 3 -0.000528894934
user_12/session_1 9 0 -3 -1 1 0.006999720512
user_12/session_1 5 0 -4 1 4 0.010183495707
user_12/session_1 5 1 2 1 1 -0.007644918475
user_12/session_1 5 0 2 1 0 0.002255400651
user_12/session_1 3 0 2 1 5 0.033826148577
user_12/session_1 3 2 1 1 3 -0.002786388622
user_12/session_1 9 0 1 -1 4 -0.025191179828
user_12/session_1 9 1 -4 -1 2 -0.003568391211
user_12/session_1 7 0 -4 1 1 -0.000779863007
user_12/session_1 5 0 3 -1 0 -0.017959721992
user_12/session_1 3 0 -2 1 4 0.013178791013
user_12/session_1 3 1 1 1 1 -0.002071766777
user_12/session_1 5 0 1 1 1 0.011779662692
user_12/session_1 5 0 2 1 3 -0.013387975731
user_12/session_1 9 0 2 -1 5 0.004667637239
user_12/session_1 9 2 -4 -1 3 9.5861815e-05
user_12/session_1 9 0 -4 -1 1 0.008244051684
user_12/session_1 5 0 -4 1 0 -0.000798547582
user_12/session_1 3 0 2 1 2 -0.007858053482
user_12/session_1 7 0 1 -1 2 0.011676867544
user_12/session_1 7 0 -3 1 4 0.018323654136
user_12/session_1 7 1 3 1 0 -0.014204435246
